,Status,Life expectancy,Adult Mortality,BMI,HIV/AIDS,Diphtheria,Polio,GDP,Income composition of resources,Schooling
1530,Developed,72.0,24.0,59.0,0.1,95.0,95.0,12297.91535,0.812,16.4
1598,Developing,73.1,138.0,28.8,0.1,96.0,96.0,4463.675893,0.724,12.1
1456,Developed,69.9,228.0,55.7,0.1,97.0,97.0,3572.8513,0.728,14.2
1056,Developing,77.0,178.0,38.2,0.1,96.0,96.0,519.958715,0.0,14.3
45,Developing,71.6,145.0,46.1,0.1,86.0,86.0,1774.33673,0.653,11.1
928,Developing,78.0,1.0,56.1,0.1,98.0,95.0,24913.24452,0.856,17.7
1106,Developing,66.2,215.0,46.7,0.3,95.0,92.0,4136.689919,0.638,10.3
1451,Developed,75.0,229.0,57.4,0.1,96.0,96.0,9667.9757,0.807,16.2
1022,Developing,57.9,38.0,21.2,3.4,8.0,8.0,373.2815537,0.489,7.9
214,Developing,74.6,19.0,49.9,0.1,93.0,93.0,16523.32388,0.779,15.5
1868,Developing,72.5,169.0,48.6,0.2,97.0,97.0,1518.85386,0.607,11.1
2665,Developing,75.3,1.0,61.2,0.1,98.0,98.0,3828.91589,0.723,14.6
883,Developing,64.2,234.0,17.2,0.6,77.0,75.0,571.1622759,0.435,8.4
2545,Developing,73.8,121.0,49.4,0.1,8.0,83.0,258.3529,0.644,11.5
584,Developing,73.5,144.0,52.0,0.1,93.0,93.0,4674.21961,0.675,11.9
945,Developing,78.8,13.0,54.6,0.1,97.0,98.0,22465.64184,0.844,15.7
1180,Developed,81.0,62.0,56.9,0.1,95.0,95.0,56249.7555,0.879,17.9
764,Developing,58.1,326.0,29.8,4.0,64.0,64.0,864.184726,0.388,3.7
418,Developing,58.6,33.0,17.6,1.0,96.0,96.0,282.7555252,0.398,10.5
422,Developing,56.2,338.0,15.7,2.4,94.0,96.0,24.944652,0.336,8.6
1158,Developed,74.8,15.0,62.4,0.1,99.0,99.0,1448.87958,0.821,15.4
1262,Developed,78.0,82.0,53.6,0.1,86.0,86.0,4117.15532,0.87,16.8
112,Developed,82.8,59.0,66.6,0.1,93.0,93.0,56554.3876,0.937,20.4
634,Developing,78.0,16.0,51.4,0.1,89.0,89.0,5245.187372,0.727,12.6
1965,Developing,76.8,127.0,53.4,0.1,85.0,85.0,7429.628274,0.755,12.8
2699,Developing,65.4,228.0,46.7,0.1,98.0,98.0,734.42525,0.678,10.7
542,Developing,48.0,4.0,14.1,4.8,26.0,26.0,197.3156442,0.3,4.9
119,Developed,81.3,66.0,62.9,0.1,92.0,92.0,49664.6854,0.921,19.1
219,Developing,73.8,119.0,46.2,0.2,93.0,93.0,12868.8639,0.757,14.4
1442,Developed,74.6,153.0,61.2,0.1,95.0,95.0,13666.58336,0.828,16.0
1326,Developed,81.9,7.0,23.4,0.1,97.0,97.0,3488.3992,0.863,14.8
398,Developed,71.6,16.0,57.5,0.1,94.0,94.0,1764.97387,0.713,12.9
1919,Developed,84.0,7.0,57.0,0.1,94.0,94.0,74114.69715,0.931,17.5
2526,Developed,82.3,57.0,55.4,0.1,95.0,96.0,74276.71842,0.92,15.4
839,Developing,56.1,339.0,22.1,7.2,44.0,59.0,17136.44568,0.589,9.2
2835,Developing,67.6,185.0,38.1,0.4,96.0,94.0,654.2838373,0.626,11.8
2654,Developing,74.0,179.0,42.0,0.4,9.0,91.0,16683.94578,0.772,12.5
2146,Developing,64.9,321.0,55.0,0.3,97.0,98.0,412.372294,0.741,13.6
2628,Developing,54.9,355.0,18.4,5.1,71.0,71.0,349.9937253,0.432,10.0
2320,Developed,81.4,64.0,31.2,0.1,97.0,97.0,39721.4818,0.88,14.2
2750,Developing,76.3,81.0,57.1,0.1,95.0,95.0,4462.3129,0.824,13.3
1216,Developing,66.5,188.0,16.0,0.1,76.0,77.0,747.9817455,0.604,10.6
466,Developing,67.8,183.0,18.2,0.2,83.0,66.0,128.419568,0.546,10.8
1633,Developing,49.8,37.0,15.6,2.5,43.0,53.0,269.3483829,0.291,4.4
2300,Developing,49.7,411.0,22.7,0.9,91.0,91.0,561.8984239,0.401,9.1
1351,Developing,67.8,236.0,49.2,0.1,99.0,98.0,97.649972,0.763,14.5
1953,Developing,63.7,183.0,18.4,0.1,65.0,65.0,649.848233,0.474,5.6
1243,Developing,64.7,249.0,53.2,0.1,59.0,63.0,2351.812429,0.631,10.2
1078,Developing,58.1,29.0,21.2,2.0,63.0,63.0,459.2912,0.385,8.4
227,Developing,71.9,194.0,6.5,0.1,98.0,98.0,694.243915,0.793,15.6
400,Developing,59.9,26.0,19.4,0.6,91.0,91.0,615.592225,0.399,7.7
134,Developed,82.0,77.0,54.7,0.1,83.0,83.0,47654.18721,0.87,15.3
2926,Developing,54.9,464.0,29.9,13.3,93.0,93.0,839.927936,0.452,10.1
66,Developing,76.1,133.0,46.4,0.2,99.0,98.0,12224.86416,0.781,13.9
2914,Developing,52.6,487.0,19.2,13.6,8.0,77.0,114.587985,0.492,11.1
2608,Developing,66.2,168.0,14.7,0.1,79.0,79.0,643.71911,0.566,11.7
1409,Developing,73.2,96.0,64.0,0.1,98.0,94.0,18389.38433,0.786,14.1
1565,Developing,64.0,267.0,15.4,0.6,78.0,74.0,245.1235876,0.466,8.7
1524,Developed,73.0,178.0,61.4,0.1,93.0,93.0,15712.82376,0.834,16.4
2202,Developing,73.6,131.0,73.8,0.1,67.0,62.0,4219.65123,0.7,12.9
519,Developing,47.6,477.0,19.4,8.3,45.0,46.0,456.8614334,0.338,6.3
425,Developing,54.1,361.0,14.5,3.8,92.0,88.0,165.8794176,0.29,5.9
1369,Developing,57.9,339.0,17.9,6.4,88.0,88.0,916.8992515,0.506,10.4
2400,Developing,55.3,473.0,45.7,23.5,79.0,77.0,5786.59972,0.616,12.9
1213,Developing,65.3,213.0,18.2,0.1,71.0,79.0,1148.56996,0.624,11.0
2454,Developing,73.7,149.0,15.1,0.1,98.0,98.0,873.1472436,0.699,12.6
1076,Developing,58.8,284.0,22.2,1.0,63.0,63.0,54.169324,0.406,8.5
2753,Developing,75.8,85.0,54.8,0.1,92.0,94.0,45758.9554,0.829,13.1
1348,Developing,69.5,28.0,51.4,0.1,98.0,98.0,1389.8561,0.782,15.0
562,Developing,75.6,88.0,3.9,0.1,99.0,99.0,777.77594,0.713,12.7
1912,Developed,81.5,62.0,6.3,0.1,94.0,94.0,1291.435,0.942,17.5
650,Developed,75.9,113.0,58.1,0.1,96.0,96.0,11363.41845,0.783,13.9
2008,Developing,75.3,125.0,54.9,0.1,88.0,78.0,6491.5245,0.735,13.4
28,Developing,72.8,18.0,47.9,0.1,97.0,97.0,189.681557,0.674,10.7
921,Developing,79.6,94.0,59.4,0.1,99.0,97.0,5341.31487,0.876,17.1
2673,Developing,74.6,12.0,53.9,0.1,98.0,98.0,3778.184171,0.695,14.3
98,Developing,74.4,123.0,53.3,0.1,95.0,96.0,3843.591213,0.736,12.7
2079,Developing,76.7,83.0,65.1,0.1,94.0,97.0,675.61258,0.83,12.6
297,Developing,65.8,245.0,17.4,0.3,95.0,96.0,1335.45696,0.0,9.6
2058,Developed,83.0,81.0,59.5,0.1,98.0,98.0,2577.4264,0.824,16.3
785,Developing,72.0,176.0,43.1,2.5,78.0,71.0,282.4242,0.651,12.2
1109,Developing,65.8,22.0,44.1,0.3,97.0,97.0,3785.935665,0.63,10.6
1048,Developing,72.4,158.0,43.1,0.1,99.0,99.0,7395.88125,0.0,15.6
1833,Developed,81.1,63.0,59.9,0.1,97.0,97.0,5354.6536,0.911,17.2
909,Developing,68.1,218.0,54.2,0.1,95.0,96.0,3332.918533,0.691,13.4
2627,Developing,55.0,357.0,18.9,5.0,82.0,8.0,372.1721837,0.435,10.1
1327,Developed,81.8,7.0,22.9,0.1,96.0,89.0,32289.3554,0.86,14.7
2710,Developing,63.3,229.0,38.7,0.1,98.0,99.0,967.917468,0.0,10.2
475,Developing,61.5,253.0,13.5,1.7,85.0,86.0,48.615184,0.458,9.7
1153,Developing,71.0,174.0,38.8,1.7,94.0,88.0,188.783165,0.551,9.8
956,Developing,65.0,37.0,3.8,10.9,45.0,44.0,6741.293948,0.64,12.4
2626,Developing,55.7,345.0,19.3,5.0,84.0,85.0,377.33629,0.436,10.2
1811,Developing,57.4,41.0,24.5,22.8,79.0,8.0,257.99557,0.559,11.5
915,Developing,89.0,78.0,61.7,0.1,98.0,98.0,49914.61864,0.89,17.0
1611,Developing,75.0,88.0,18.7,0.1,98.0,98.0,4428.522898,0.622,12.0
2362,Developing,68.8,183.0,49.7,0.1,88.0,94.0,29.652622,0.512,9.6
2612,Developing,62.3,229.0,13.2,0.1,57.0,57.0,467.5438297,0.484,10.2
955,Developing,61.4,288.0,31.4,10.7,45.0,44.0,727.777345,0.646,12.4
363,Developing,72.0,17.0,46.9,0.1,99.0,99.0,3623.47667,0.695,14.0
795,Developing,74.4,144.0,47.9,0.3,96.0,92.0,335.786541,0.693,12.8
1119,Developing,65.3,244.0,37.1,2.3,91.0,93.0,96.8674827,0.609,11.0
1325,Developed,82.1,68.0,23.8,0.1,99.0,97.0,37688.72234,0.866,14.8
388,Developed,73.7,144.0,63.3,0.1,95.0,95.0,7813.83499,0.775,14.2
677,Developed,79.7,57.0,58.3,0.1,99.0,99.0,32233.83942,0.847,13.8
96,Developing,74.8,118.0,54.9,0.1,94.0,96.0,369.654776,0.741,12.7
1869,Developing,72.5,173.0,47.9,0.2,93.0,93.0,1344.31871,0.601,11.0
2493,Developing,55.0,438.0,3.2,15.7,91.0,85.0,3934.27325,0.526,11.2
1798,Developing,66.1,232.0,34.1,2.5,89.0,89.0,5488.131712,0.625,11.6
2289,Developing,72.2,185.0,31.2,0.1,99.0,99.0,12154.82994,0.733,13.1
857,Developing,67.0,322.0,15.1,1.1,94.0,94.0,326.825642,0.406,5.2
1296,Developed,79.8,75.0,55.7,0.1,93.0,96.0,24.819,0.828,14.9
606,Developing,59.5,272.0,17.6,0.1,7.0,7.0,395.9319363,0.0,8.5
1204,Developing,68.7,181.0,25.6,0.3,85.0,86.0,362.663981,0.677,12.9
191,Developing,74.5,92.0,54.5,0.1,97.0,97.0,13636.34668,0.786,13.2
549,Developing,79.1,89.0,6.6,0.1,92.0,92.0,1286.17764,0.815,15.2
1009,Developed,78.0,95.0,55.1,0.1,9.0,94.0,23718.7467,0.855,16.2
1531,Developed,76.0,229.0,58.7,0.1,94.0,94.0,924.642548,0.807,16.4
2152,Developing,65.7,23.0,2.8,0.4,98.0,98.0,76.5699517,0.488,10.8
2253,Developing,64.9,26.0,22.2,0.4,92.0,89.0,18.25321,0.455,7.9
1460,Developing,74.9,97.0,64.9,0.1,81.0,75.0,846.285153,0.766,13.3
2907,Developing,61.1,314.0,22.8,4.3,86.0,78.0,1738.8822,0.57,12.5
633,Developing,78.9,93.0,52.4,0.1,89.0,89.0,612.623418,0.734,12.8
2277,Developing,73.0,134.0,52.8,0.1,89.0,89.0,2832.49652,0.715,13.0
81,Developing,76.2,118.0,62.2,0.1,94.0,92.0,12245.25645,0.825,17.3
1556,Developing,64.7,23.0,19.5,0.4,74.0,73.0,461.723722,0.508,10.3
1523,Developed,73.4,169.0,61.9,0.1,93.0,93.0,16554.97139,0.841,16.5
2044,Developed,76.3,13.0,58.4,0.1,99.0,96.0,12599.52486,0.822,15.1
1,Developing,59.9,271.0,18.6,0.1,62.0,58.0,612.696514,0.476,10.0
1515,Developing,72.2,134.0,56.7,0.1,98.0,98.0,9344.987518,0.752,15.4
901,Developing,69.4,195.0,6.2,0.1,99.0,99.0,4546.73854,0.714,14.9
1477,Developing,52.2,513.0,3.8,9.0,95.0,93.0,1281.516,0.479,11.0
1485,Developing,44.8,666.0,26.9,34.6,9.0,89.0,781.5145936,0.439,10.7
230,Developing,70.0,226.0,58.7,0.1,96.0,98.0,5176.172649,0.771,15.4
1214,Developing,66.9,189.0,17.5,0.1,71.0,8.0,164.59447,0.613,10.8
500,Developing,81.5,68.0,64.7,0.1,87.0,87.0,5282.2176,0.903,15.9
1580,Developing,46.0,66.0,15.9,22.4,93.0,94.0,28.3673842,0.371,9.7
1853,Developed,81.0,76.0,63.2,0.1,88.0,88.0,3259.73471,0.891,19.2
233,Developing,68.9,243.0,57.2,0.1,99.0,97.0,3848.215966,0.723,14.6
2721,Developing,56.3,41.0,15.6,8.2,71.0,69.0,449.6928183,0.453,10.6
2134,Developed,77.0,175.0,51.4,0.1,99.0,99.0,1668.162731,0.703,11.5
156,Developing,67.8,154.0,43.6,0.1,77.0,79.0,883.6439965,0.659,10.8
871,Developing,75.6,137.0,57.6,0.1,94.0,94.0,14638.6482,0.833,16.2
2846,Developing,71.2,141.0,49.9,0.1,65.0,65.0,3275.91684,0.591,10.8
2228,Developing,63.8,224.0,22.8,1.6,96.0,99.0,693.345683,0.509,9.8
2001,Developing,72.1,163.0,42.8,0.2,96.0,96.0,157.145691,0.646,12.3
1185,Developed,79.7,74.0,54.2,0.1,98.0,98.0,31813.37344,0.847,16.8
2062,Developed,79.0,92.0,56.5,0.1,97.0,97.0,24815.6884,0.804,15.8
244,Developed,83.0,8.0,62.3,0.1,98.0,98.0,4772.77415,0.884,16.1
2049,Developed,75.0,144.0,55.5,0.1,99.0,99.0,821.251569,0.797,14.8
1084,Developing,54.7,327.0,18.5,2.7,59.0,59.0,33.424498,0.346,6.6
419,Developing,58.0,312.0,17.1,1.2,96.0,96.0,265.285651,0.393,10.3
337,Developing,65.1,268.0,37.3,2.3,95.0,96.0,7497.762376,0.697,12.6
2274,Developing,73.6,133.0,54.5,0.1,92.0,97.0,4129.758741,0.739,13.4
242,Developed,87.0,77.0,63.0,0.1,99.0,99.0,4651.38647,0.889,16.3
2441,Developing,74.9,138.0,23.4,0.1,99.0,99.0,3844.89123,0.764,14.0
2675,Developing,74.2,14.0,52.2,0.1,98.0,98.0,3194.562243,0.683,13.9
1607,Developing,76.7,73.0,22.1,0.1,96.0,97.0,633.79498,0.653,11.6
1689,Developing,75.7,13.0,59.4,0.1,95.0,95.0,7748.12331,0.738,12.5
1859,Developed,78.5,83.0,59.6,0.1,9.0,82.0,13882.85683,0.868,17.4
1951,Developing,64.2,179.0,19.5,0.1,78.0,77.0,873.772727,0.501,6.5
2530,Developed,81.5,65.0,53.7,0.1,94.0,94.0,57348.92788,0.904,15.2
2071,Developing,78.2,68.0,69.3,0.1,99.0,99.0,66346.52267,0.855,13.4
148,Developing,71.6,125.0,48.8,0.1,87.0,91.0,7189.691229,0.741,11.7
1805,Developing,57.0,431.0,28.7,19.2,86.0,74.0,3881.29535,0.57,11.4
111,Developing,72.0,142.0,47.1,0.1,93.0,96.0,622.7427477,0.639,11.2
116,Developed,82.0,63.0,64.4,0.1,92.0,92.0,62245.129,0.927,19.8
1501,Developing,54.0,329.0,21.5,3.2,31.0,47.0,149.4452549,0.335,10.2
1974,Developing,75.7,121.0,45.9,0.2,98.0,99.0,46.29935,0.716,12.1
1823,Developing,65.4,28.0,13.9,0.2,75.0,78.0,317.89198,0.469,9.4
414,Developing,56.0,344.0,12.5,3.6,62.0,62.0,235.4912324,0.0,3.5
2222,Developing,66.2,24.0,26.9,0.5,98.0,98.0,1129.754961,0.542,10.6
350,Developing,46.7,679.0,3.5,37.2,97.0,97.0,3128.97793,0.56,11.8
2686,Developing,74.2,116.0,61.9,0.1,97.0,97.0,1672.5693,0.715,13.0
1385,Developing,65.1,21.0,74.1,0.1,82.0,74.0,1413.3234,0.572,11.6
60,Developing,46.8,388.0,16.8,2.4,4.0,4.0,779.468356,0.406,5.9
1282,Developed,82.7,56.0,63.6,0.1,93.0,93.0,349.14755,0.881,16.3
2440,Developed,79.1,86.0,57.6,0.1,95.0,95.0,14676.769,0.82,15.7
1461,Developing,75.0,93.0,64.4,0.1,81.0,75.0,8787.94668,0.763,13.3
1577,Developing,50.0,525.0,16.9,16.9,91.0,92.0,372.842678,0.4,9.6
1754,Developing,72.3,116.0,52.7,0.1,99.0,99.0,2861.5545,0.596,10.5
1578,Developing,48.5,559.0,16.6,19.3,87.0,88.0,32.2227274,0.387,9.7
1122,Developing,63.5,24.0,49.9,0.5,6.0,56.0,814.5463952,0.49,9.1
395,Developed,72.2,157.0,59.1,0.1,95.0,94.0,3381.57837,0.738,13.3
1955,Developing,63.2,187.0,17.4,0.1,68.0,71.0,499.8633,0.457,5.5
2664,Developing,69.1,197.0,33.6,0.9,9.0,9.0,643.947262,0.709,11.7
1950,Developing,64.4,178.0,2.1,0.1,75.0,75.0,95.4327931,0.505,6.7
2738,Developing,67.5,277.0,57.2,0.7,98.0,98.0,368.68998,0.723,14.8
157,Developing,67.8,146.0,43.1,0.1,76.0,8.0,763.73858,0.651,10.6
302,Developing,61.7,29.0,14.4,0.1,88.0,88.0,87.9387673,0.0,7.6
893,Developing,55.0,354.0,13.5,4.1,4.0,54.0,135.7623858,0.31,5.4
2130,Developed,71.7,165.0,53.4,0.1,97.0,97.0,3552.92452,0.733,12.9
2133,Developed,78.0,179.0,51.9,0.1,99.0,99.0,1839.72945,0.708,11.7
664,Developing,77.9,12.0,56.2,0.1,95.0,99.0,5376.447622,0.771,17.1
544,Developing,85.0,82.0,63.8,0.1,96.0,96.0,13653.2264,0.845,16.3
2845,Developing,71.4,138.0,5.8,0.1,64.0,65.0,3158.58688,0.592,10.8
1721,Developing,66.3,25.0,46.9,0.1,96.0,96.0,265.353659,0.693,14.3
1618,Developing,58.2,266.0,23.8,1.5,64.0,66.0,729.725338,0.438,8.4
1450,Developed,78.0,221.0,57.7,0.1,94.0,94.0,1444.1589,0.814,16.2
2013,Developing,73.8,14.0,51.5,0.3,93.0,92.0,4166.93387,0.706,13.3
210,Developing,75.2,11.0,53.0,0.1,91.0,91.0,15472.7814,0.792,15.3
105,Developing,72.9,141.0,49.2,0.1,87.0,87.0,2158.299,0.692,11.2
1900,Developing,59.0,386.0,21.0,5.0,53.0,6.0,1383.893354,0.481,9.2
1272,Developing,81.5,63.0,62.6,0.1,96.0,96.0,27795.87671,0.876,15.6
480,Developing,57.3,357.0,29.0,3.5,84.0,83.0,1244.429421,0.514,10.4
2923,Developing,59.2,371.0,31.3,6.3,91.0,92.0,127.47462,0.498,10.3
2309,Developing,41.5,57.0,18.4,1.9,73.0,66.0,263.7618312,0.322,7.4
1852,Developed,81.0,75.0,63.8,0.1,89.0,89.0,31287.77865,0.894,19.5
1929,Developing,76.0,14.0,52.3,0.1,98.0,99.0,22134.916,0.797,13.7
2302,Developing,48.1,424.0,21.7,1.6,86.0,84.0,45.128418,0.384,8.7
1834,Developed,88.0,64.0,59.3,0.1,97.0,97.0,5338.25483,0.906,17.0
1824,Developing,64.7,218.0,13.4,0.2,8.0,8.0,287.4156,0.463,9.3
1269,Developing,81.8,6.0,63.8,0.1,94.0,94.0,32569.59683,0.889,15.9
585,Developing,73.1,147.0,51.3,0.1,93.0,94.0,379.78776,0.669,11.5
1205,Developing,68.5,183.0,24.7,0.3,83.0,84.0,3687.953996,0.669,12.6
20,Developing,76.6,88.0,55.1,0.1,99.0,99.0,4437.17868,0.738,13.3
2050,Developed,74.9,143.0,55.0,0.1,99.0,99.0,6681.178818,0.8,15.5
1474,Developing,53.7,484.0,32.6,9.3,93.0,9.0,173.82893,0.495,10.7
1287,Developed,81.8,6.0,61.0,0.1,96.0,96.0,35849.37364,0.869,16.4
1512,Developing,72.7,132.0,59.0,0.1,98.0,98.0,1296.97353,0.757,14.6
546,Developing,81.0,84.0,62.5,0.1,91.0,9.0,15941.39722,0.831,15.6
1760,Developing,69.9,146.0,47.3,0.1,91.0,91.0,1721.973863,0.551,9.3
2813,Developing,76.5,118.0,62.3,0.1,95.0,95.0,1592.6819,0.784,15.5
2677,Developing,73.7,17.0,5.6,0.1,95.0,95.0,2761.969249,0.667,13.5
320,Developing,77.4,88.0,55.8,0.1,82.0,74.0,4574.9787,0.747,14.2
2651,Developing,71.0,172.0,45.0,0.3,92.0,94.0,1967.83283,0.773,12.7
2126,Developed,73.1,159.0,55.6,0.1,96.0,95.0,1136.47356,0.78,14.7
2251,Developing,66.0,196.0,23.2,0.3,92.0,89.0,148.912351,0.474,8.7
1543,Developed,86.0,73.0,59.2,0.1,99.0,96.0,14965.361,0.884,13.7
357,Developing,73.8,154.0,52.0,0.1,99.0,99.0,11224.1548,0.716,13.8
2138,Developing,69.6,237.0,58.7,0.3,97.0,98.0,15154.45687,0.792,14.3
884,Developing,63.7,237.0,16.8,0.9,72.0,7.0,52.1535887,0.427,8.4
2060,Developed,79.6,88.0,58.1,0.1,98.0,97.0,22538.6548,0.812,16.0
1494,Developing,62.0,266.0,25.0,1.5,77.0,77.0,379.689583,0.406,9.5
1973,Developing,75.5,124.0,46.9,0.1,99.0,95.0,446.372833,0.721,12.4
1527,Developed,72.4,188.0,6.0,0.1,95.0,95.0,11984.86857,0.824,16.8
67,Developing,75.9,134.0,45.7,0.2,98.0,97.0,12565.44197,0.778,13.8
2754,Developing,75.6,87.0,55.1,0.1,92.0,94.0,42672.61323,0.826,12.9
849,Developing,52.7,336.0,18.3,1.9,34.0,41.0,172.68491,0.0,0.0
2709,Developing,63.4,231.0,39.4,0.1,83.0,66.0,1283.885977,0.0,10.3
1169,Developed,71.7,193.0,56.1,0.1,99.0,99.0,4623.46712,0.761,13.9
1688,Developing,75.6,127.0,6.1,0.1,95.0,95.0,8959.581416,0.739,12.5
2347,Developed,85.0,78.0,58.9,0.1,95.0,95.0,2315.31799,0.878,16.8
1590,Developing,74.3,13.0,36.3,0.1,96.0,96.0,145.1262,0.774,13.0
1166,Developed,72.5,184.0,57.6,0.1,99.0,99.0,8396.25323,0.784,14.9
2524,Developed,82.7,54.0,56.2,0.1,96.0,96.0,83164.38795,0.932,15.7
1755,Developing,71.8,123.0,51.7,0.1,99.0,99.0,2884.94776,0.589,10.3
1861,Developing,74.8,145.0,54.0,0.1,98.0,99.0,295.966488,0.642,11.7
801,Developing,72.8,163.0,43.6,0.3,87.0,83.0,1451.29776,0.668,12.4
2369,Developing,67.6,2.0,43.8,0.1,9.0,93.0,146.931125,0.482,9.0
187,Developing,75.2,83.0,55.6,0.1,98.0,98.0,15846.47641,0.803,13.9
1475,Developing,52.1,522.0,32.0,9.4,93.0,9.0,1174.839214,0.491,10.8
2647,Developing,71.8,157.0,66.2,0.1,89.0,91.0,1837.977391,0.674,13.2
2848,Developing,78.0,149.0,48.2,0.1,66.0,66.0,2643.441423,0.589,10.7
1729,Developing,63.8,263.0,39.8,0.1,98.0,98.0,571.51883,0.599,10.1
2533,Developed,85.0,72.0,52.3,0.1,93.0,95.0,4796.56497,0.889,15.0
1557,Developing,64.3,235.0,19.0,0.4,7.0,71.0,443.9611,0.506,10.2
1640,Developed,82.0,63.0,67.1,0.1,73.0,73.0,2675.58259,0.815,14.4
1995,Developing,73.4,15.0,47.1,0.1,89.0,84.0,3988.11894,0.675,12.3
548,Developing,79.8,86.0,61.2,0.1,94.0,93.0,1475.69242,0.82,15.4
1988,Developing,59.3,327.0,38.9,1.4,61.0,54.0,511.665773,0.428,6.9
754,Developing,63.0,252.0,34.4,2.1,78.0,78.0,174.91511,0.467,6.3
1676,Developing,71.8,165.0,28.6,0.1,97.0,98.0,5695.969327,0.713,13.4
2215,Developing,72.0,18.0,65.6,0.1,95.0,94.0,154.68923,0.64,12.1
830,Developing,69.9,29.0,47.8,0.3,94.0,93.0,2519.737387,0.628,12.0
1872,Developing,71.0,194.0,45.7,0.3,79.0,8.0,191.55157,0.587,11.0
1978,Developing,62.2,284.0,46.4,1.0,74.0,81.0,271.318741,0.501,9.9
